"k","l","cm","missing_counts"
1,1,[3 3 0 0 0 0 3 2 0 1; 0 14 0 0 0 0 0 0 0 1; 0 0 3 1 0 0 1 0 1 1; 1 3 2 6 0 0 1 1 5 0; 0 3 0 0 4 1 0 0 0 3; 1 1 0 1 0 2 3 0 1 0; 1 0 0 0 1 1 5 1 0 0; 0 2 2 0 0 0 2 13 1 1; 0 1 1 1 0 0 2 0 7 0; 1 1 1 2 1 0 0 1 1 9],[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2,1,[4 1 0 0 0 0 3 2 0 2; 0 13 0 0 0 0 1 0 0 1; 0 0 3 0 0 0 1 1 1 1; 0 3 2 5 0 2 1 0 5 1; 0 3 0 0 3 1 0 0 0 4; 0 1 0 1 1 1 2 0 1 2; 1 1 0 0 1 1 5 0 0 0; 0 3 2 1 0 0 1 11 1 2; 0 1 1 2 0 0 2 2 3 1; 1 1 1 0 0 0 1 3 2 8],[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2,2,[3 0 0 0 0 0 1 0 0 0; 0 13 0 0 0 0 0 0 0 1; 0 0 3 0 0 0 0 0 0 0; 0 1 0 3 0 0 0 0 0 0; 0 3 0 0 1 0 0 0 0 3; 0 0 0 0 0 1 1 0 0 0; 1 0 0 0 0 0 2 0 0 0; 0 2 0 0 0 0 0 7 0 0; 0 0 0 0 0 0 1 0 1 0; 0 0 0 0 0 0 0 0 0 2],[8, 1, 4, 15, 4, 7, 6, 12, 10, 15]
3,1,[4 2 1 0 0 0 3 1 1 0; 0 13 0 0 0 0 1 0 0 1; 0 0 5 1 0 0 1 0 0 0; 0 4 1 7 0 2 1 1 3 0; 0 3 0 0 2 0 0 1 0 5; 0 2 0 0 0 3 4 0 0 0; 3 0 0 0 1 0 4 1 0 0; 0 3 1 0 0 1 1 10 3 2; 0 1 2 2 0 0 3 0 3 1; 1 1 1 2 1 1 1 1 1 7],[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
3,2,[4 1 0 0 0 0 3 1 1 0; 0 13 0 0 0 0 1 0 0 1; 0 0 3 0 0 0 0 0 0 0; 0 3 0 5 0 0 1 0 0 0; 0 3 0 0 1 0 0 1 0 5; 0 0 0 0 0 1 2 0 0 0; 3 0 0 0 0 0 3 0 0 0; 0 3 0 0 0 0 1 10 2 1; 0 0 2 1 0 0 2 0 1 0; 1 0 1 0 1 0 0 0 1 4],[2, 0, 4, 10, 1, 6, 3, 4, 6, 9]
3,3,[3 0 0 0 0 0 0 0 0 0; 0 13 0 0 0 0 0 0 0 0; 0 0 3 0 0 0 0 0 0 0; 0 1 0 3 0 0 0 0 0 0; 0 1 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0; 1 0 0 0 0 0 1 0 0 0; 0 1 0 0 0 0 0 4 0 0; 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 2],[9, 2, 4, 15, 10, 9, 7, 16, 12, 15]
4,1,[4 3 0 0 0 0 3 0 0 2; 0 13 0 0 0 0 1 0 0 1; 0 1 4 0 0 1 1 0 0 0; 0 5 1 8 0 1 2 0 1 1; 0 3 0 0 3 0 0 1 0 4; 0 1 0 1 1 3 2 0 0 1; 3 1 0 0 0 0 5 0 0 0; 0 4 2 0 0 1 1 10 1 2; 0 1 1 2 0 0 2 1 5 0; 1 1 2 1 4 1 1 1 1 4],[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
4,2,[5 2 0 0 0 0 2 1 0 0; 0 13 0 0 0 0 1 0 0 1; 0 1 3 0 0 0 0 0 0 0; 0 4 0 7 0 0 1 0 1 1; 0 3 0 0 3 0 0 1 0 4; 0 0 0 0 0 2 2 0 0 0; 3 0 0 0 0 0 5 0 0 0; 0 3 0 1 0 1 1 10 2 0; 0 1 1 1 0 0 1 0 3 0; 1 1 1 1 3 0 0 0 1 5],[2, 0, 3, 5, 0, 5, 1, 3, 5, 4]
4,3,[3 1 0 0 0 0 1 0 0 0; 0 13 0 0 0 0 0 0 0 0; 0 0 3 0 0 0 0 0 0 0; 0 2 0 3 0 0 1 0 0 0; 0 2 0 0 1 0 0 1 0 0; 0 0 0 0 0 0 0 0 0 0; 1 0 0 0 0 0 3 0 0 0; 0 2 0 0 0 0 0 5 0 0; 0 0 0 0 0 0 0 0 0 0; 0 0 1 0 0 0 0 0 0 2],[7, 2, 4, 13, 7, 9, 5, 14, 12, 14]
4,4,[2 0 0 0 0 0 0 0 0 0; 0 10 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0; 0 0 0 1 0 0 0 0 0 0; 0 1 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 1 0 0 0; 0 1 0 0 0 0 0 2 0 0; 0 0 0 0 0 0 0 0 0 0; 0 0 0 0 0 0 0 0 0 1],[10, 5, 7, 18, 10, 9, 8, 18, 12, 16]
