"k","l","cm","n_missings"
5,3,[248 4 1 2 2 0 7 2 3 3; 0 334 2 0 1 0 0 2 0 0; 4 6 267 1 2 2 2 5 1 0; 4 22 3 223 0 4 1 10 3 3; 0 14 0 0 260 0 4 3 0 19; 2 9 0 5 2 211 17 1 2 5; 14 5 1 0 0 3 284 1 4 0; 0 10 2 0 0 0 1 295 1 1; 1 7 1 4 0 3 11 1 241 7; 2 23 0 4 26 1 0 8 0 229],381
5,4,[212 2 0 0 1 0 2 1 2 1; 0 320 0 0 0 0 0 1 0 0; 2 2 231 0 1 1 0 2 0 0; 1 8 1 173 0 0 0 3 2 0; 0 4 0 0 209 0 1 1 0 7; 0 5 0 2 0 172 6 1 0 1; 6 2 0 0 0 0 249 1 0 0; 0 5 0 0 0 0 0 269 0 0; 0 4 0 0 0 2 5 0 189 3; 1 15 0 2 14 0 0 3 0 171],981
5,5,[170 2 0 0 1 0 0 1 1 0; 0 299 0 0 0 0 0 0 0 0; 0 1 177 0 0 0 0 1 0 0; 0 3 0 111 0 0 0 0 0 0; 0 2 0 0 130 0 1 0 0 1; 0 1 0 0 0 106 3 0 0 0; 1 1 0 0 0 0 171 1 0 0; 0 3 0 0 0 0 0 229 0 0; 0 1 0 0 0 0 0 0 105 1; 0 8 0 0 2 0 0 0 0 84],1682
6,1,[259 5 5 3 3 0 10 3 7 3; 0 334 2 0 4 0 0 3 1 4; 7 8 285 2 3 3 3 12 3 2; 9 29 8 243 1 9 3 14 8 6; 0 24 1 0 269 2 7 4 2 24; 8 14 1 8 5 231 27 3 9 13; 21 9 1 0 0 7 293 1 10 0; 1 13 2 0 0 0 2 303 3 3; 3 9 8 13 1 11 20 1 265 13; 6 27 1 4 37 5 0 12 0 239],0
6,2,[258 5 3 4 3 1 10 3 6 4; 0 334 1 0 2 0 0 3 1 6; 7 9 285 2 2 3 3 11 5 1; 9 28 10 246 0 8 3 13 6 6; 1 21 1 0 271 1 5 5 2 25; 5 15 2 8 3 231 25 5 9 13; 19 6 1 0 1 5 298 1 11 0; 2 13 2 0 0 0 2 302 3 3; 3 9 7 14 0 9 25 3 262 12; 6 28 2 4 36 5 0 9 0 240],8
6,3,[251 4 1 3 2 0 11 2 4 3; 0 335 2 0 1 0 0 2 1 3; 6 7 276 1 3 2 2 8 1 0; 6 28 5 230 0 6 2 12 5 5; 0 20 1 0 263 0 5 4 1 20; 3 13 1 7 2 217 21 2 5 6; 18 8 1 0 0 3 289 1 7 0; 0 11 2 0 0 0 1 299 3 2; 2 8 3 8 0 6 16 1 251 10; 4 25 0 4 34 4 0 9 0 233],216
6,4,[234 2 0 1 1 0 3 1 2 2; 0 328 0 0 0 0 0 2 0 0; 3 4 248 1 1 1 1 4 0 0; 3 16 2 191 0 1 1 6 2 1; 0 10 0 0 239 0 1 3 0 10; 2 7 0 3 0 192 13 1 0 2; 9 5 0 0 0 1 270 1 4 0; 0 9 0 0 0 0 0 282 1 0; 0 5 0 1 0 3 9 1 214 5; 1 19 0 3 18 1 0 6 0 196],691
6,5,[202 2 0 0 1 0 0 1 1 1; 0 311 0 0 0 0 0 0 0 0; 1 1 211 0 0 0 0 2 0 0; 1 5 0 152 0 0 0 2 2 0; 0 4 0 0 178 0 1 0 0 1; 0 3 0 1 0 138 5 0 0 0; 3 1 0 0 0 0 218 1 0 0; 0 5 0 0 0 0 0 257 0 0; 0 3 0 0 0 1 1 0 154 2; 0 13 0 2 10 0 0 3 0 133],1266
6,6,[152 2 0 0 0 0 0 1 0 0; 0 294 0 0 0 0 0 0 0 0; 0 1 159 0 0 0 0 1 0 0; 0 2 0 97 0 0 0 0 0 0; 0 1 0 0 109 0 1 0 0 1; 0 1 0 0 0 84 1 0 0 0; 1 1 0 0 0 0 151 1 0 0; 0 2 0 0 0 0 0 221 0 0; 0 1 0 0 0 0 0 0 86 1; 0 8 0 0 1 0 0 0 0 66],1853
7,1,[254 5 4 4 2 2 13 4 7 3; 0 333 2 0 4 0 0 3 1 5; 10 11 279 2 4 3 3 11 3 2; 10 28 9 245 1 4 4 12 10 7; 1 26 2 0 268 0 7 6 2 21; 5 16 1 14 4 231 32 2 5 9; 15 8 1 0 1 5 302 1 9 0; 0 12 3 0 0 0 2 304 3 3; 7 9 6 11 1 7 23 2 267 11; 3 28 4 6 34 4 1 12 1 238],0
